hcp_id,hcp_name,specialty,city,state,hospital_affiliation,hospital_type,decile,brand_affinity,monthly_rx_potential,years_in_practice,kol_flag,kol_score,territory_id
NPI_000001,Dr. Corey Murray,Medical Oncologist,New York,NY,Memorial Sloan Kettering Cancer Center,Cancer Center,9,SWITCHER,14,35,True,5,TER_NO_02
NPI_000002,Dr. Robert Bowen,Medical Oncologist,Houston,TX,MD Anderson Cancer Center,Cancer Center,3,SWITCHER,5,15,False,0,TER_SO_01
NPI_000003,Dr. Christine Gray,Medical Oncologist,Salt Lake City,UT,Warren-Chambers Medical Center,Teaching Hospital,4,ZYLATEC_LOYAL,5,10,False,0,TER_MO_03
NPI_000004,Dr. Regina French,Pulmonologist,Cleveland,OH,Cleveland Clinic Taussig Cancer Institute,Cancer Center,7,ZYLATEC_LOYAL,10,21,False,0,TER_MI_02
NPI_000005,Dr. Elizabeth Lopez,Pulmonologist,Seattle,WA,Austin PLC Medical Center,Teaching Hospital,6,ZYLATEC_LOYAL,11,14,False,0,TER_PA_03
NPI_000006,Dr. Brendan Mccarty,Pulmonologist,Philadelphia,PA,"Dunlap, Short and Castillo Medical Center",Teaching Hospital,7,VEXORIN_LOYAL,10,30,False,0,TER_NO_03
NPI_000007,Dr. Bradley Watson,Pulmonologist,San Francisco,CA,UCSF Helen Diller Cancer Center,Cancer Center,9,ZYLATEC_LOYAL,16,35,False,0,TER_PA_02
NPI_000008,Dr. Lisa Harris,Hemato-Oncologist,Philadelphia,PA,Penn Medicine Abramson Cancer Center,Cancer Center,10,VEXORIN_LOYAL,16,24,True,3,TER_NO_03
NPI_000009,Dr. Lawrence Crawford,Pulmonologist,Dallas,TX,UT Southwestern Simmons Cancer Center,Cancer Center,6,VEXORIN_LOYAL,8,33,False,0,TER_SO_02
NPI_000010,Dr. Stephen Flores,Pulmonologist,Los Angeles,CA,Cedars-Sinai Samuel Oschin Cancer Center,Cancer Center,9,NO_PREFERENCE,15,27,False,0,TER_PA_01
NPI_000011,Dr. Victoria Moore,Medical Oncologist,Los Angeles,CA,Cedars-Sinai Samuel Oschin Cancer Center,Cancer Center,9,SWITCHER,17,9,False,0,TER_PA_01
NPI_000012,Dr. Jennifer Welch,Medical Oncologist,Denver,CO,Bass-King Medical Center,Teaching Hospital,10,SWITCHER,17,10,False,0,TER_MO_01
NPI_000013,Dr. Robin Wells,Hemato-Oncologist,Houston,TX,"Davis, Hansen and Brown Medical Center",Community Hospital,9,SWITCHER,18,31,False,0,TER_SO_01
NPI_000014,Dr. Billy Wilson,Pulmonologist,Salt Lake City,UT,"Taylor, Thompson and Gibbs Medical Center",Private Practice,8,SWITCHER,16,33,False,0,TER_MO_03
NPI_000015,Dr. Rachel Garrett,Pulmonologist,San Francisco,CA,UCSF Helen Diller Cancer Center,Cancer Center,10,SWITCHER,16,18,True,3,TER_PA_02
NPI_000016,Dr. Lauren Taylor,Pulmonologist,New York,NY,Memorial Sloan Kettering Cancer Center,Cancer Center,6,NO_PREFERENCE,7,12,False,0,TER_NO_02
NPI_000017,Dr. Francisco Harris,Medical Oncologist,Minneapolis,MN,Jackson-Duke Medical Center,Teaching Hospital,9,VEXORIN_LOYAL,14,32,False,0,TER_MI_03
NPI_000018,Dr. Anthony Williams,Medical Oncologist,Boston,MA,"Fry, Trevino and Rice Medical Center",Community Hospital,8,SWITCHER,14,27,False,0,TER_NO_01
NPI_000019,Dr. Taylor Lewis,Hemato-Oncologist,Salt Lake City,UT,Huntsman Cancer Institute,Cancer Center,7,NO_PREFERENCE,13,17,False,0,TER_MO_03
NPI_000020,Dr. Amanda Henson,Medical Oncologist,San Francisco,CA,UCSF Helen Diller Cancer Center,Cancer Center,6,ZYLATEC_LOYAL,10,28,False,0,TER_PA_02
NPI_000021,Dr. James Moss,Pulmonologist,Phoenix,AZ,Reid and Sons Medical Center,Community Hospital,10,NO_PREFERENCE,16,28,False,0,TER_MO_02
NPI_000022,Dr. Cynthia Baker,Pulmonologist,New York,NY,Memorial Sloan Kettering Cancer Center,Cancer Center,4,NO_PREFERENCE,5,19,False,0,TER_NO_02
NPI_000023,Dr. Nicholas Russell,Medical Oncologist,Philadelphia,PA,Penn Medicine Abramson Cancer Center,Cancer Center,6,SWITCHER,9,29,False,0,TER_NO_03
NPI_000024,Dr. Timothy Cervantes,Medical Oncologist,Boston,MA,Dana-Farber Cancer Institute,Cancer Center,4,SWITCHER,8,25,False,0,TER_NO_01
NPI_000025,Dr. Jennifer Chen,Medical Oncologist,Boston,MA,"Lee, Reynolds and Rodriguez Medical Center",Community Hospital,4,VEXORIN_LOYAL,4,18,False,0,TER_NO_01
NPI_000026,Dr. Stacy Owens,Medical Oncologist,New York,NY,Memorial Sloan Kettering Cancer Center,Cancer Center,2,VEXORIN_LOYAL,3,16,False,0,TER_NO_02
NPI_000027,Dr. Jeffery Goodwin,Medical Oncologist,Cleveland,OH,Cleveland Clinic Taussig Cancer Institute,Cancer Center,6,SWITCHER,12,10,False,0,TER_MI_02
NPI_000028,Dr. Emily Rodriguez,Pulmonologist,New York,NY,Memorial Sloan Kettering Cancer Center,Cancer Center,5,SWITCHER,10,27,False,0,TER_NO_02
NPI_000029,Dr. Kathryn Johnson,Medical Oncologist,Cleveland,OH,Cleveland Clinic Taussig Cancer Institute,Cancer Center,9,SWITCHER,15,9,False,0,TER_MI_02
NPI_000030,Dr. Jesus Gray,Medical Oncologist,Los Angeles,CA,Stephenson Inc Medical Center,Private Practice,9,SWITCHER,15,5,False,0,TER_PA_01
NPI_000031,Dr. Tracy Roberson,Medical Oncologist,Minneapolis,MN,Peterson-Woodard Medical Center,Teaching Hospital,7,ZYLATEC_LOYAL,13,34,False,0,TER_MI_03
NPI_000032,Dr. Harry Reyes,Medical Oncologist,Phoenix,AZ,Potter-Olson Medical Center,Teaching Hospital,10,NO_PREFERENCE,18,30,True,5,TER_MO_02
NPI_000033,Dr. Ryan Yu,Hemato-Oncologist,San Francisco,CA,Garcia Group Medical Center,Private Practice,6,SWITCHER,9,30,False,0,TER_PA_02
NPI_000034,Dr. Benjamin Scott,Hemato-Oncologist,Nashville,TN,Vanderbilt-Ingram Cancer Center,Cancer Center,9,ZYLATEC_LOYAL,18,20,False,0,TER_SO_03
NPI_000035,Dr. Raymond Nichols,Medical Oncologist,Dallas,TX,Franco-Cunningham Medical Center,Teaching Hospital,8,ZYLATEC_LOYAL,9,23,True,3,TER_SO_02
NPI_000036,Dr. Donna Kirby,Medical Oncologist,Salt Lake City,UT,Huntsman Cancer Institute,Cancer Center,6,SWITCHER,11,3,False,0,TER_MO_03
NPI_000037,Dr. Mary Chen,Medical Oncologist,Boston,MA,Dana-Farber Cancer Institute,Cancer Center,6,ZYLATEC_LOYAL,10,18,False,0,TER_NO_01
NPI_000038,Dr. Albert Nelson,Pulmonologist,Salt Lake City,UT,Huntsman Cancer Institute,Cancer Center,9,SWITCHER,11,17,False,0,TER_MO_03
NPI_000039,Dr. Katie Moreno,Medical Oncologist,Chicago,IL,Northwestern Medicine Lurie Cancer Center,Cancer Center,9,SWITCHER,13,24,False,0,TER_MI_01
NPI_000040,Dr. Joseph Weber,Medical Oncologist,Nashville,TN,Vanderbilt-Ingram Cancer Center,Cancer Center,7,SWITCHER,10,14,False,0,TER_SO_03
NPI_000041,Dr. Jonathan Zhang,Medical Oncologist,Seattle,WA,Seattle Cancer Care Alliance,Cancer Center,9,SWITCHER,16,21,False,0,TER_PA_03
NPI_000042,Dr. Edgar Mason,Hemato-Oncologist,Minneapolis,MN,Mayo Clinic Cancer Center,Cancer Center,7,ZYLATEC_LOYAL,12,11,False,0,TER_MI_03
NPI_000043,Dr. Marco Marks,Medical Oncologist,Los Angeles,CA,Adkins Inc Medical Center,Teaching Hospital,10,SWITCHER,13,34,True,3,TER_PA_01
NPI_000044,Dr. Jennifer Duran,Pulmonologist,Minneapolis,MN,Mayo Clinic Cancer Center,Cancer Center,8,VEXORIN_LOYAL,9,33,True,3,TER_MI_03
NPI_000045,Dr. Derrick Mcpherson,Medical Oncologist,Minneapolis,MN,Patterson-Gordon Medical Center,Teaching Hospital,4,VEXORIN_LOYAL,5,22,False,0,TER_MI_03
NPI_000046,Dr. Tiffany Smith,Medical Oncologist,Phoenix,AZ,Gray LLC Medical Center,Teaching Hospital,6,ZYLATEC_LOYAL,10,17,False,0,TER_MO_02
NPI_000047,Dr. Dale Hood,Pulmonologist,Cleveland,OH,Taylor Group Medical Center,Community Hospital,7,ZYLATEC_LOYAL,12,30,False,0,TER_MI_02
NPI_000048,Dr. Gwendolyn White,Medical Oncologist,Chicago,IL,Rosario PLC Medical Center,Teaching Hospital,9,SWITCHER,18,16,False,0,TER_MI_01
NPI_000049,Dr. Gloria French,Medical Oncologist,Los Angeles,CA,Cedars-Sinai Samuel Oschin Cancer Center,Cancer Center,4,SWITCHER,5,29,False,0,TER_PA_01
NPI_000050,Dr. Darren Neal,Medical Oncologist,Cleveland,OH,Cleveland Clinic Taussig Cancer Institute,Cancer Center,9,ZYLATEC_LOYAL,16,32,True,3,TER_MI_02
NPI_000051,Dr. Peter Little,Hemato-Oncologist,Phoenix,AZ,Porter Inc Medical Center,Teaching Hospital,10,SWITCHER,20,30,True,3,TER_MO_02
