rep_id,rep_name,region,territory_id,total_experience_years,onco_experience_years,designation,manager_id,last_launch_performance,status,annual_ctc_usd
REP_001,April Elliott,NORTHEAST,,17.7,10.5,Regional Business Director,,Q2,ACTIVE,174432
REP_002,Kimberly Chung,SOUTHEAST,,14.2,9.3,Regional Business Director,,Q1,ACTIVE,173104
REP_003,Alyssa Rios,MIDWEST,,13.6,11.8,Regional Business Director,,Q2,ACTIVE,146025
REP_004,Angela Stevens,SOUTH_CENTRAL,,15.5,14.2,Regional Business Director,,Q2,ACTIVE,161696
REP_005,Anita Carson,MOUNTAIN_WEST,,15.6,9.5,Regional Business Director,,Q2,ACTIVE,176787
REP_006,Willie Watts,PACIFIC,,20.2,14.9,Regional Business Director,,Q1,ACTIVE,147518
REP_007,Christina Thornton,NORTHEAST,TER_NO_01,11.4,5.6,Territory Business Manager,REP_001,Q2,ACTIVE,96032
REP_008,Elizabeth Gomez,NORTHEAST,TER_NO_01,8.2,8.2,Senior Territory Business Manager,REP_001,Q1,ACTIVE,93535
REP_009,James Blackburn,NORTHEAST,TER_NO_01,1.5,1.2,Senior Territory Business Manager,REP_001,Q4,ACTIVE,94427
REP_010,Brittney Knight,NORTHEAST,TER_NO_02,13.9,3.5,Territory Business Manager,REP_001,Q1,ACTIVE,110256
REP_011,Charles Campbell,NORTHEAST,TER_NO_02,9.9,7.0,Territory Business Manager,REP_001,Q2,ACTIVE,102800
REP_012,Mark Sandoval,NORTHEAST,TER_NO_02,3.2,0.8,Territory Business Manager,REP_001,Q4,ACTIVE,85076
REP_013,Rebecca Ramirez,NORTHEAST,TER_NO_03,4.3,4.3,Territory Business Manager,REP_001,Q1,ACTIVE,86664
REP_014,Lauren Pierce,NORTHEAST,TER_NO_03,12.7,6.5,Senior Territory Business Manager,REP_001,Q2,ACTIVE,104564
REP_015,Paul Jimenez,NORTHEAST,TER_NO_03,10.9,5.5,Senior Territory Business Manager,REP_001,Q1,ACTIVE,110050
REP_016,Julia Hale,SOUTH_CENTRAL,TER_SO_01,4.1,4.1,Territory Business Manager,REP_004,Q1,ACTIVE,79757
REP_017,Joseph Hart,SOUTH_CENTRAL,TER_SO_01,7.9,6.0,Senior Territory Business Manager,REP_004,Q2,ACTIVE,93449
REP_018,Kevin Kaufman,SOUTH_CENTRAL,TER_SO_01,3.0,1.1,Territory Business Manager,REP_004,Q4,ACTIVE,109961
